근무지,지점,포지션,근무시간,급여
서울 전체, 신세계백화점 강남점,아카데미 아르바이트 모집,10:00~20:00,"시급8,700"
서울 전체, 신세계백화점 강남점,축산코너 상품 판매 아르바이트,09:30~20:00,"시급9,000"
대구 동구, 신세계 백화점 대구점,파트너센터 문서수발/보조 업무,12:00~20:00,"시급8,700"
경기 하남시, 신세계백화점 하남점,포터서비스 아르바이트 모집,10:30~18:30,"시급8,700"
서울 전체, 신세계백화점 본점,VIP 라운지 멤버스바 아르바이트 모집,10:00~18:00,"시급8,700"
부산 해운대, 신세계백화점 센텀시티점,축산코너 상품 판매 아르바이트 모집,10:00~19:00,"시급8,700"
서울 전체, 신세계백화점 본점,파트너센터 문서수발/보조 업무 모집,12:00~20:00,"시급8,700"
경기 용인시, 신세계 경기점,멤버스바 아르바이트 모집,10:00~18:00,"시급8,700"
서울 전체, 신세계백화점 본점,아카데미 아르바이트 모집,10:00~18:00,"시급8,700"
경기 용인시, 신세계 경기점,포터서비스 아르바이트 모집,09:00~17:00,"시급8,700"
