근무지,지점,포지션,근무시간,급여,등록일
경남 창원시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리,13:00~22:00,"일급77,000",12분전
서울 강남구, (주)신세계엘앤비,[신세계L&B] 이마트 성수점 평,12:00~21:00,"일급92,650",47분전
서울 서초구, (주)신세계엘앤비,[신세계엘앤비] 와인앤모어 부,13:00~21:00,"시급11,000",48분전
경기 용인시, (주)신세계엘앤비,[신세계엘앤비] 와인앤모어 부,12:00~20:00,"시급11,000",49분전
경기 용인시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 여주아,10:30~20:30,"시급11,000",49분전
부산 사하구, (주)신세계엘앤비,[신세계L&B] 이마트 안양점 주,12:00~20:00,"시급11,000",49분전
부산 남구, (주)신세계엘앤비,[신세계L&B] 이마트 안양점 주,12:00~20:00,"시급11,000",49분전
부산 강서구, (주)신세계엘앤비,[신세계L&B] 이마트 안양점 주,12:00~20:00,"시급11,000",49분전
서울 서초구, (주)신세계엘앤비,[신세계L&B] 이마트구로점 와인,12:00~20:00,"시급11,000",49분전
서울 동작구, (주)신세계엘앤비,[신세계L&B] 이마트 중동점 와,14:00~22:00,"시급11,000",50분전
서울 강남구, (주)신세계엘앤비,[신세계L&B] SSG 푸드마켓 청담,14:00~22:00,"시급11,000",50분전
경기 성남시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 여주아,14:00~22:00,"시급11,000",50분전
서울 강남구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 여주아,12:00~20:00,"시급11,000",50분전
서울 서초구, (주)신세계엘앤비,[신세계L&B] 이마트 시화점 와,12:00~20:00,"시급11,000",50분전
경기 화성시, (주)신세계엘앤비,[신세계L&B] 이마트 창원점 와,13:00~21:00,"시급11,000",50분전
경기 오산시, (주)신세계엘앤비,[신세계L&B] 이마트 경기광주점,13:00~21:00,"시급11,000",50분전
경기 여주시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 서래점,13:00~21:00,"시급11,000",1시간전
경기 이천시, (주)신세계엘앤비,[신세계L&B] 신세계백화점 경기,13:00~21:00,"시급11,000",1시간전
경기 광주시, (주)신세계엘앤비,[신세계L&B] 신세계백화점 경기,13:00~21:00,"일급77,000",1시간전
경기 광명시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 스타필,13:00~21:00,"시급11,000",1시간전
경기 고양시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 스타필,10:00~18:00,"일급77,000",1시간전
서울 서초구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 스타필,09:00~17:00,"시급11,000",1시간전
경기 안양시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리,12:00~20:00,"시급11,000",2시간전
경기 수원시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리,13:00~21:00,"일급77,000",2시간전
서울 성동구, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리,13:00~21:00,"일급77,000",3시간전
경기 파주시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리,13:00~21:00,"시급11,000",3시간전
경기 부천시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리,13:00~21:00,"시급11,000",5시간전
경기 시흥시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리,13:00~21:00,"시급11,000",5시간전
경기 여주시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 데일리,13:00~21:00,"시급11,000",6시간전
경기 군포시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 데일리,12:00~20:00,"시급11,000",7시간전
경기 안양시, (주)신세계엘앤비,[신세계L&B] 이마트 창원점 와인포장 알바 모집(10.31~11.1),12:00~20:00,"시급11,000",7시간전
경기 안양시, (주)신세계엘앤비,[신세계L&B] SSG 푸드마켓 청담점 와인판매 알바 모집,12:00~20:00,"시급11,000",7시간전
서울 구로구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 서래점 매장 와인판매 스탭 모집(장기근무가능자),13:00~21:00,"일급77,000",8시간전
경기 부천시, (주)신세계엘앤비,[신세계L&B] 신세계백화점 경기점 와인판매 알바(와인경력자우대),13:00~21:00,"일급77,000",8시간전
경기 시흥시, (주)신세계엘앤비,[신세계L&B] 신세계백화점 경기점 와인판매 알바(와인경력자우대),13:00~22:00,"일급77,000",8시간전
경기 수원시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 스타필드시티 명지점 와인매장 알바모집 [남자우대],13:00~21:00,"시급11,000",10/27
경기 화성시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 스타필드시티 명지점 와인매장 알바모집 [남자우대],13:00~21:00,"시급11,000",10/27
서울 서초구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 스타필드시티 명지점 와인매장 알바모집 [남자우대],12:00~20:00,"시급11,000",10/27
서울 강남구, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 서초센트럴점 와인판매/진열 고정스탭 모집,12:00~20:00,"시급11,000",10/27
경기 오산시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),13:00~21:00,"시급11,000",10/27
경기 화성시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),13:00~21:00,"시급11,000",10/27
경기 성남시, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 양재점 와인판매 스탭 모집(토일월근무),14:00~22:00,"시급11,000",10/27
서울 강남구, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 개포점 와인판매 스탭 모집,14:00~22:00,"시급11,000",10/27
서울 동작구, (주)신세계엘앤비,[신세계L&B] 와인앤모어데일리 개포점 와인판매 스탭 모집,14:00~22:00,"시급11,000",10/27
부산 강서구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 데일리 능동점 와인판매 스탭 모집,12:00~20:00,"시급11,000",10/27
부산 남구, (주)신세계엘앤비,[신세계L&B] 와인앤모어 데일리 능동점 와인판매 스탭 모집,12:00~20:00,"시급11,000",10/27
경기 시흥시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 여주아울렛점 주말 와인판매진열 알바(교통비지급),13:00~21:00,"시급11,000",10/27
경기 안산시, (주)신세계엘앤비,[신세계L&B] 와인앤모어 여주아울렛점 주말 와인판매진열 알바(교통비지급),13:00~21:00,"시급11,000",10/27
인천 남동구, (주)신세계엘앤비,[신세계L&B] 이마트 경기광주점 와인행사 판촉알바 모집(10/31~11/),13:00~21:00,"시급11,000",10/27
서울 종로구, (주)신세계엘앤비,[신세계L&B] 이마트 광명소하점 주류 알바모집(10/31~11/1),10:30~20:30,"시급11,000",10/27
