근무지,지점,포지션,근무시간,급여,등록일
서울 영등포, LG전자 케어솔루션 영등포사무소,LG케어솔루션 매니저 정수기점,09:00~18:00,"월급3,000,000",14분전
경남 사천시, LG전자케어솔루션 서진주사무소,LG전자 케어솔루션 부산남구사,09:00~18:00,"월급2,400,000",25분전
경남 사천시, LG전자케어솔루션 서진주사무소,[경력무관] LG케어솔루션 금천,09:00~18:00,"월급2,400,000",27분전
경남 사천시, LG전자케어솔루션 서진주사무소,[경력무관] LG케어솔루션 금천,09:00~18:00,"월급2,400,000",28분전
경남 사천시, LG전자케어솔루션 서진주사무소,LG전자 케어솔루션 김포풍무사,09:00~18:00,"월급2,400,000",28분전
경북 의성군, LG전자 케어솔루션 안동사무소,LG전자 케어솔루션 역삼사무소,09:00~18:00,"월급2,400,000",28분전
경남 사천시, LG전자케어솔루션 서진주사무소,LG전자 케어솔루션 파주운정 사,09:00~18:00,"월급2,400,000",28분전
세종 전체, 하이엠솔루텍(주),LG전자 케어솔루션 불광사무소,09:00~18:00,"월급2,200,000",33분전
경북 봉화군, LG전자 케어솔루션 안동사무소,LG전자케어솔루션 서진주사무소,09:00~18:00,"월급2,400,000",34분전
경북 영주시, LG전자 케어솔루션 안동사무소,LG전자케어솔루션 서진주사무소,09:00~18:00,"월급2,400,000",35분전
경북 예천군, LG전자 케어솔루션 안동사무소,LG전자케어솔루션 서진주사무소,09:00~18:00,"월급2,400,000",35분전
경북 안동시, LG전자 케어솔루션 안동사무소,LG전자케어솔루션 서진주사무소,09:00~18:00,"월급2,400,000",37분전
서울 동대문, LG전자 케어솔루션 동대문사무소,LG전자케어솔루션 서진주사무소,09:00~18:00,"월급2,400,000",38분전
경기 평택시, 하이엠솔루텍(주),(11월채용)LG전자 케어솔루션 ,09:00~18:00,"월급2,400,000",40분전
경기 고양시, LG케어솔루션 파주운정사무소,LG전자 케어솔루션 파주운정 사,09:00~18:00,"월급2,800,000",48분전
