근무지,지점,포지션,근무시간,급여,등록일
경기 김포시, 현대프리미엄아울렛 김포점,[현대백화점] 압구정본점 사은,12:00~21:30,"시급8,600",55분전
서울 강동구, 현대백화점 천호점,[단기] 현대프리미엄아울렛 남,12:00~19:00,"시급8,600",1시간전
서울 중구, 현대시티아울렛 동대문점,[현대백화점] 압구정본점 판매,10:30~16:00,"시급8,600",2시간전
경기 성남시, 주식회사 크림슨피에스,[단기알바] 현대시티아울렛 동,10:00~20:00,"시급8,600",2시간전
경기 남양주, 현대프리미엄아울렛 SPACE1,현대백화점 판교점 픽커 주5일,10:00~19:30,"시급8,600",2시간전
서울 강남구, 현대백화점,천호점 10/30(금)~11/1(일) 여,10:00~20:00,"시급8,600",2시간전
경기 남양주, 현대프리미엄아울렛 SPACE1,천호점 10/31(토)~11/1(일) 리,10:00~19:30,"시급8,600",2시간전
경기 성남시, 현대백화점 판교점,사은행사 아르바이트 / 단기알바 / 현대프리미엄아울렛 김포점,10:30~20:00,"시급8,600",3시간전
서울 강동구, 현대백화점 천호점,천호점 10/31(토)~11/1(일) 리빙아동팀 코스튬대여 (사진첨부필수),11:00~18:00,"시급8,600",3시간전
서울 전체, 현대백화점 현대시티몰 가든파이브점,[단기알바] 현대시티아울렛 동대문점 출입명부관리 알바모집,10:00~19:00,"시급9,000",3시간전
경기 성남시, 현대백화점 판교점,현대백화점 판교점 픽커 주5일 아르바이트 모집합니다,12:00~18:00,"시급8,800",4시간전
서울 강남구, 현대백화점,[고정] 현대프리미엄아울렛SPACE1 남양주점 사은데스크,09:00~19:00,"시급8,600",5시간전
경기 성남시, 현대백화점 판교점,[현대백화점] 압구정본점 사은데스크 직영 아르바이트 채용,10:00~20:00,"시급8,600",10/27
서울 전체, 현대백화점 현대시티몰 가든파이브점,[단기] 현대프리미엄아울렛 남양주 브랜드 대기안내 행사알바,10:00~19:00,"시급9,000",10/27
부산 동구, 주식회사 현대백화점 부산점,현대백화점 판교점 회원서비스센터 카드접수 주5일 아르바이트 모집합니다.,10:00~19:30,"시급8,600",10/27
서울 전체, 현대백화점 현대시티몰 가든파이브점,천호점 10/30(금)~11/1(일) 여성패션팀 핸드빌배포 (사진첨부필수),10:00~19:00,"시급9,000",10/26
서울 중구, 현대시티아울렛 동대문점,[주5일] 현대시티몰 온라인몰(사무보조) 알바모집,11:00~18:00,"시급9,000",10/26
경기 남양주, 남양주 현대아울렛,현대백화점 판교점 라운지 후방보조 주5일 아르바이트 모집합니다,10:30~19:30,"시급8,600",10/25
경기 남양주, 남양주 현대아울렛,[현대백화점] 압구정본점 판매기획팀 통합 아르바이트 채용,10:30~19:30,"시급8,600",10/25
서울 강남구, 한무쇼핑(주),현대백화점 판교점 사은데스크 주5일 아르바이트 모집합니다,09:30~19:00,"시급9,410",10/24
충북 청주시, 현대백화점 충청점,[주5일] 현대시티몰 온라인몰(사무보조) 알바모집,09:00~18:30,"시급8,600",10/24
대전 유성구, 현대백화점 현대프리미엄아울렛 대전점,[채용] 현대백화점 부산점 판매기획팀 평일 아르바이트 모집(물품 이동 등),10:00~19:30,"시급8,600",10/23
대구 동구, 현대시티아울렛대구점,[주5일] 현대시티몰 온라인몰(사무보조) 알바모집,10:00~21:00,"시급8,600",10/18
서울 구로구, 현대백화점 디큐브시티,[행사][단기알바] 현대시티아울렛 동대문점 이벤트행사알바모집,11:00~20:00,"건별20,000",10/17
