근무지,지점,포지션,근무시간,급여
울산 북구, 자연드림 울산 천곡점,자연드림 울산 천곡점 물류직원,08:00~10:00,"시급10,000"
경남 창원시, iCOOP,배송/피킹 파트타이머 자연드림,14:00~20:30,"시급10,000"
세종 새롬동, 자연드림 대전충청 세종새롬점,자연드림 안산본오점 매장직원,07:30~12:00,"시급10,000"
제주 제주시, 자연드림 제주 연동점,자연드림 인천송도점 정육실장,08:00~11:30,"시급9,000"
경기 안산시, 자연드림 안산 본오점,자연드림 대구대봉교점 정육실,09:00~15:30,"시급10,000"
서울 양천구, 자연드림 목동파리공원점,자연드림 대구동천점 정육실장,07:00~10:00,"시급10,000"
경기 광명시, 자연드림 광명소하점,자연드림 대구이시아점 파트타,08:00~12:30,"시급10,000"
경기 광명시, 자연드림 광명소하점,자연드림 대구월성점 매장파트,08:00~12:30,"시급10,000"
경기 성남시, 분당 정자점 (자연드림),자연드림 대구대봉교점 매장파,07:00~09:30,"시급10,000"
충남 홍성군, 쿱스토어대전충청 자연드림 홍성점,자연드림 경주황성점 매장파트,15:00~21:30,"시급10,000"
인천 부평구, 인천산곡점(자연드림),자연드림 울산유곡점 물류직원,10:00~19:00,"연봉25,800,000"
충남 서산시, 자연드림 대전충청 서산예천점,자연드림 대전충청 세종새롬점,09:00~11:30,"시급10,000"
인천 연수구, 인천송도점(자연드림),자연드림 제주 연동점 매장 입,10:00~19:00,"연봉25,800,000"
경기 부천시, 자연드림 부천중동점,자연드림 울산 천곡점 물류직원 모집,08:00~11:00,"시급10,000"
전남 목포시, 자연드림 목포 옥암점,배송/피킹 파트타이머 자연드림 창원남양점(주6일-6시간),08:00~15:00,"시급10,000"
전남 해남군, 자연드림 해남점,자연드림 대전충청 세종새롬점 주말물류 직원 모집,08:00~15:00,"시급10,000"
대구 수성구, 자연드림 대구대봉교점,자연드림 제주 연동점 매장 입고직원 모집,09:00~18:00,"연봉27,200,000"
대구 북구, 자연드림 대구동천점,자연드림 안산본오점 매장직원 모집(일6시간 주5일),09:00~18:00,"연봉27,200,000"
대구 동구, 자연드림 대구이시아점,자연드림 목동파리공원점 주5일 직원 모집,09:30~15:30,"시급10,000"
울산 중구, 자연드림 울산 유곡점,자연드림 광명소하점 주중 주4일 직원 모집,07:00~09:00,"시급10,000"
대구 달서구, 자연드림 대구월성점,자연드림 광명소하점 주3일 직원 모집,07:00~09:00,"시급10,000"
대구 수성구, 자연드림 대구대봉교점,자연드림 분당정자점 주5일직원 모집,09:00~15:30,"시급10,000"
경북 경주시, 자연드림 경주황성점,자연드림 홍성점 주말직원 모집,09:00~15:00,"시급10,000"
부산 남구, 자연드림 부산 대연점,자연드림 인천산곡점 정육실장 모집,15:00~22:00,"시급10,000"
부산 해운대, 자연드림 부산 해운대마린시티점,자연드림 서산예천점 물류직원 모집,08:00~15:00,"시급10,000"
부산 해운대, 자연드림 부산 해운대마린시티점,자연드림 인천송도점 정육실장 모집,09:00~18:00,"연봉27,000,000"
