근무지,지점,포지션,근무시간,급여,등록일
서울 강남구, 롤링핀 포스코사거리점,롤링핀잠실점주말알바,07:00~11:00,"시급8,600",2시간전
대구 수성구, 롤링핀 대구 시지점,롤링핀 포스코사거리점 주중 오,13:00~15:00,"시급8,590",3시간전
경북 구미시, 롤링핀 구미 금오산점,롤링핀구미금오산점 평일 알바,12:00~15:00,"시급8,590",5시간전
서울 송파구, 롤링핀 잠실점,롤링핀구미금오산점 평일 알바,08:00~15:00,"시급8,590",6시간전
경북 구미시, 롤링핀 구미 금오산점,롤링핀구미금오산점 평일 알바,12:00~15:00,"시급8,590",7시간전
경북 구미시, 롤링핀 구미 금오산점,롤링핀구미금오산점 평일 알바,12:00~15:00,"시급8,590",7시간전
경북 구미시, 롤링핀 구미 금오산점,"롤링핀 시지점 주말 미들/월,금",12:00~15:00,"시급8,590",7시간전
경북 구미시, 롤링핀 구미 금오산점,"롤링핀 시지점 주말 미들/월,금",12:00~15:00,"시급8,590",7시간전
대구 수성구, 롤링핀 대구 시지점,"롤링핀 시지점 주말 미들/월,금",13:00~15:00,"시급8,590",7시간전
대구 수성구, 롤링핀 대구 시지점,"롤링핀 시지점 주말 미들/월,금",13:00~15:00,"시급8,590",7시간전
대구 수성구, 롤링핀 대구 시지점,롤링핀 포스코사거리점 주중 오전 알바,13:00~15:00,"시급8,590",7시간전
대구 수성구, 롤링핀 대구 수성못점,"롤링핀 시지점 주말 미들/월,금 마감 구합니다",12:00~15:00,"시급8,590",10/27
대구 수성구, 롤링핀 대구 수성못점,롤링핀구미금오산점 평일 알바구해요,12:00~15:00,"시급8,590",10/26
대구 수성구, 롤링핀 대구 수성못점,롤링핀잠실점주말알바,12:00~15:00,"시급8,590",10/25
대구 수성구, 롤링핀 대구 수성못점,롤링핀구미금오산점 평일 알바구해요,12:00~15:00,"시급8,590",10/25
전남 여수시, 롤링핀 여수웅천점,롤링핀구미금오산점 평일 알바구해요,19:30~22:00,"시급8,590",10/19
전남 여수시, 롤링핀 여수웅천점,롤링핀구미금오산점 평일 알바구해요,19:30~22:00,"시급8,590",10/19
전남 여수시, 롤링핀 여수웅천점,롤링핀구미금오산점 평일 알바구해요,19:30~22:00,"시급8,590",10/19
전남 여수시, 롤링핀 여수웅천점,"롤링핀 시지점 주말 미들/월,금 마감 구합니다",19:30~22:00,"시급8,590",10/19
대구 달서구, 롤링핀 죽전점,"롤링핀 시지점 주말 미들/월,금 마감 구합니다",08:00~22:30,"월급1,870,000",10/19
대구 달서구, 롤링핀 죽전점,"롤링핀 시지점 주말 미들/월,금 마감 구합니다",08:00~22:30,"월급1,870,000",10/19
대구 달서구, 롤링핀 죽전점,"롤링핀 수성못점 일(격주),월,화 미들 근무자를 모집합니다",08:00~22:30,"월급1,870,000",10/19
대구 달서구, 롤링핀 죽전점,"롤링핀 수성못점 일(격주),월,화 미들 근무자를 모집합니다",08:00~22:30,"월급1,870,000",10/19
대구 달서구, 롤링핀 죽전점,"롤링핀 수성못점 일(격주),월,화 미들 근무자를 모집합니다",08:00~22:30,"월급1,870,000",10/19
경기 성남시, 롤링핀 야탑점,"롤링핀 수성못점 일(격주),월,화 미들 근무자를 모집합니다",06:00~15:00,"월급2,000,000",10/19
경기 성남시, 롤링핀 야탑점,(월~금/저녁7시30분-밤10시)롤링핀 여수 웅천점 마감 알바 구함,06:00~15:00,"월급2,000,000",10/19
경기 성남시, 롤링핀 야탑점,(월~금/저녁7시30분-밤10시)롤링핀 여수 웅천점 마감 알바 구함,06:00~15:00,"월급2,000,000",10/19
경기 성남시, 롤링핀 야탑점,(월~금/저녁7시30분-밤10시)롤링핀 여수 웅천점 마감 알바 구함,06:00~15:00,"월급2,000,000",10/19
경기 성남시, 롤링핀 야탑점,(월~금/저녁7시30분-밤10시)롤링핀 여수 웅천점 마감 알바 구함,06:00~15:00,"월급2,000,000",10/19
서울 서초구, 롤링핀 센트럴시티점,롤링핀 죽전점 직원 및 알바구합니다.,07:00~22:30,"월급1,700,000",10/19
서울 서초구, 롤링핀 센트럴시티점,롤링핀 죽전점 직원 및 알바구합니다.,07:00~22:30,"월급1,700,000",10/19
서울 서초구, 롤링핀 센트럴시티점,롤링핀 죽전점 직원 및 알바구합니다.,07:00~22:30,"월급1,700,000",10/19
서울 서초구, 롤링핀 센트럴시티점,롤링핀 죽전점 직원 및 알바구합니다.,07:00~22:30,"월급1,700,000",10/19
서울 서초구, 롤링핀 센트럴시티점,롤링핀 죽전점 직원 및 알바구합니다.,07:00~22:30,"월급1,700,000",10/16
