근무지,지점,포지션,근무시간,급여,등록일
서울 구로구, 롯데리아 개봉역점,"롯데리아 인천도화점, 제물포점",17:00~23:00,"시급8,590",5분전
인천 전체, 롯데리아 인천도화점,롯데리아 한남대점에서 매니저,09:00~22:00,"시급8,590",6분전
전북 전주시, 롯데리아 전주동산점,롯데리아 한남대점에서 매니저,17:00~22:00,"시급8,590",9분전
경기 광주시, 롯데리아 경안제일점,롯데리아 한남대점에서 매니저,09:00~16:00,"시급8,590",14분전
대전 대덕구, 롯데리아 한남대점,롯데리아 한남대점에서 매니저,09:00~02:00,"월급2,200,000",15분전
대전 대덕구, 롯데리아 한남대점,대구 옥포읍  아르바이트 및 주,09:00~02:00,"월급2,200,000",15분전
대전 대덕구, 롯데리아 한남대점,[급]이천증포점에서 부점장(관,09:00~02:00,"월급2,200,000",16분전
대전 대덕구, 롯데리아 한남대점,[급]이천증포점에서 부점장(관,09:00~02:00,"월급2,200,000",16분전
경기 광주시, 롯데리아 경안제일점,[급]이천증포점에서 부점장(관,09:00~16:00,"시급8,590",17분전
경기 화성시, 롯데리아 동탄CGV점,[급]이천증포점에서 부점장(관,10:00~22:00,"시급8,590",20분전
경기 광주시, 롯데리아 경안제일점,[급]이천증포점에서 부점장(관,09:00~16:00,"시급8,590",21분전
경기 광주시, 롯데리아 경안제일점,[오전 오후 아르바이트 모집합,09:00~23:00,"월급1,800,000",21분전
경남 창원시, 롯데리아 마산터미널점,라이더 배달사원 [급구] 언제든,18:00~22:00,"시급8,590",30분전
대구 달성군, 롯데리아 대구옥포,라이더 배달사원 [급구] 언제든,09:00~22:00,"시급8,590",31분전
서울 구로구, 롯데리아 개봉역점,~함께할 관리자 모집중입니다~,17:00~23:00,"시급8,590",35분전
서울 강남구, 롯데리아 강남우성사거리점,[오전 오후 아르바이트 모집합,00:00~24:00,"시급8,590",35분전
경기 이천시, 롯데리아 이천증포점,남/여 아르바이트 모집,09:00~18:00,"월급2,400,000",43분전
대전 유성구, 롯데리아 대전노은점,롯데리아와 함께 열심히 일할 ,11:00~23:00,"시급8,590",43분전
경기 이천시, 롯데리아 이천증포점,롯데리아 광주 태전점 정규직 ,09:00~18:00,"월급2,400,000",43분전
경기 이천시, 롯데리아 이천증포점,롯데리아 학동역점에서 아르바,09:00~18:00,"월급2,400,000",44분전
경기 이천시, 롯데리아 이천증포점,롯데리아 학동역점에서 아르바,09:00~18:00,"월급2,400,000",44분전
서울 강서구, 롯데리아 염창점,롯데리아 학동역점에서 아르바,17:00~22:00,"시급8,590",44분전
경기 이천시, 롯데리아 이천증포점,롯데리아 학동역점에서 아르바,09:00~18:00,"월급2,400,000",44분전
대전 중구, 롯데리아 대전세이점,"롯데리아 서귀포점 정직원, 아",11:00~21:00,"시급8,590",44분전
대전 중구, 롯데리아 대전세이점,함께할수 있는 메이트 급구합니,11:00~21:00,"시급8,590",45분전
부산 수영구, 롯데리아 수영로타리점,"롯데리아 인천도화점, 제물포점",18:00~02:00,"시급8,590",51분전
경기 수원시, 롯데리아 수원권선점,"평일,주말 심야 아르바이트생 ",09:00~24:00,"시급8,590",51분전
경기 수원시, 롯데리아 수원권선점,평일 저녁 아르바이트생 모집,09:00~18:00,"시급10,000",51분전
경기 수원시, 롯데리아 수원권선점,"평일,주말 심야 아르바이트생 ",09:00~18:00,"시급10,000",51분전
경기 수원시, 롯데리아 수원권선점,롯데리아 여수죽림점에서 함께,08:00~23:00,"월급2,000,000",51분전
경기 수원시, 롯데리아 수원권선점,롯데리아 여수죽림점에서 함께,09:00~24:00,"시급8,590",51분전
경북 포항시, 롯데리아 포항죽도점,아르바이트 모집중 입니다 밝고,16:00~05:00,"시급8,590",52분전
부산 수영구, 롯데리아 수영로타리점,롯데리아 건대스타시티점 메이,18:00~02:00,"시급8,590",54분전
경기 광주시, 롯데리아 광주태전점,아르바이트 모집 합니다.,09:00~23:00,"시급8,590",1시간전
경기 안산시, 롯데리아 안산D/T점,"롯데리아  직원 구함( 남 ,여 ",24:00~08:00,"시급8,590",1시간전
경기 안산시, 롯데리아 안산D/T점,"롯데리아  부점장 구함 (남,여",24:00~08:00,"시급8,590",1시간전
경기 안산시, 롯데리아 안산D/T점,"아르바이트 모집합니다 (남,여",24:00~08:00,"시급8,590",1시간전
경기 안산시, 롯데리아 안산D/T점,롯데리아이수역점에서  아르바,24:00~08:00,"시급8,590",1시간전
경기 안산시, 롯데리아 안산D/T점,롯데리아 이수역점에서 직원 모,24:00~08:00,"시급8,590",1시간전
부산 금정구, 롯데리아 부산터미날1호점,롯데리아 이수역점  부점장 모,08:00~08:00,"시급8,590",1시간전
경기 시흥시, 롯데리아 시흥능곡점,롯데리아 청주 강내점 주부사원,17:00~23:00,"월급1,200,000",1시간전
서울 강서구, 롯데리아 홈플러스강서점,롯데리아인천학산점 경력 아르,10:00~22:00,"시급8,590",1시간전
서울 강남구, 롯데리아 개포점,관리자[경력자]모집합니다,17:00~23:00,"시급8,590",1시간전
경기 수원시, 롯데리아 망포역점,롯데리아 화성반월점에서 관리,09:00~24:00,"시급8,590",1시간전
경기 부천시, 롯데리아 부천상동점,롯데리아 망포역점에서 아르바,17:00~22:00,"시급8,590",2시간전
인천 전체, 롯데리아 인천도화점,대전 전민점 주5일 월급제 직원,09:00~22:00,"시급8,590",2시간전
경기 고양시, 롯데리아 DMC항동점,롯데리아 대전전민점 아르바이,09:00~22:00,"시급8,590",2시간전
전북 전주시, 롯데리아 전주동산점,롯데리아 신곡시장점 아르바이,17:00~22:00,"시급8,590",2시간전
전북 전주시, 롯데리아 전주동산점,[교통비 및 특별수당 지급][알,09:00~18:00,"월급1,900,000",2시간전
충북 청주시, 롯데리아 오창2산단점,[교통비 및 특별수당 지급][알,10:00~22:00,"월급1,900,000",2시간전
