근무지,지점,포지션,근무시간,급여,등록일
서울 강남구, 롭스 신논현점,롭스 롯데몰동부산점에서 평일,18:30~23:00,"시급10,308",15분전
서울 용산구, 롭스 이태원점,롭스 신논현점 평일 마감(월~금) 아르바이트 모집 합니다,10:00~14:30,"시급8,590",20분전
부산 기장군, 롭스 롯데몰동부산점,롭스 이태원점 평일 오전메이트 모집합니다.,16:30~20:00,"시급8,590",27분전
경남 김해시, 롭스 김해아울렛,롭스 롯데몰동부산점에서 평일 오후 메이트 모집합니다.,12:30~20:00,"시급8,590",1시간전
경기 동두천, 롭스 동두천점,롭스 김해아울렛점 주말 미들 메이트 모집합니다.,14:00~17:00,"시급8,590",1시간전
경남 진주시, 진주몰점,[급구]롭스 동두천점에서 평일 미들 메이트 모집합니다.,15:30~21:00,"시급8,590",1시간전
경남 진주시, 롭스 진주점,롭스 진주몰점 평일 마감 메이트 구합니다.,14:30~20:00,"시급8,590",2시간전
서울 용산구, 롭스 이태원점,롭스 진주점에서 주말 메이트 구합니다,10:00~14:30,"시급8,590",2시간전
서울 관악구, 롭스 구로점,롭스 이태원점 평일 오전메이트 모집합니다.,11:00~16:00,"시급8,590",2시간전
전북 군산시, 롭스 군산아웃렛점,롭스 구로점 주말 오전 메이트 모집합니다.,15:00~19:30,"시급8,590",3시간전
서울 강남구, 롭스 가로수길점,롭스 군산아울렛점에서 평일 마감 모집합니다.,15:30~22:30,"시급8,590",3시간전
서울 강남구, 롭스 강남점,롭스 가로수길점 평일 마감 PT 모집합니다.,15:30~22:00,"시급8,590",3시간전
부산 해운대, 롭스 센텀시티점,롭스 강남점 주말 마감 메이트 모집합니다.,16:00~21:00,"시급8,590",23시간전
서울 용산구, 롭스 이태원점,롭스 센텀시티점 주말 마감 메이트 공고,10:00~14:30,"시급8,590",10/28
서울 광진구, 롭스 건대점,롭스 이태원점 평일 오전메이트 모집합니다.,19:30~23:00,"시급8,590",10/27
서울 강남구, 롭스 신논현점,롭스 건대점 평일오후 메이트 모집합니다,18:30~23:00,"시급10,308",10/24
서울 강남구, 롭스 신논현점,롭스 신논현점 평일 마감(월~금) 아르바이트 모집 합니다,18:30~23:00,"시급10,308",10/24
전북 군산시, 롭스 군산아웃렛점,롭스 신논현점 평일 마감(월~금) 아르바이트 모집 합니다,15:00~19:30,"시급8,590",10/23
서울 송파구, 롯데쇼핑㈜ H&B사업본부 (롭스) 롯,롭스 군산아울렛점에서 평일 마감 모집합니다.,12:00~17:30,"시급8,590",10/23
서울 강남구, 롭스 강남점,(급구)롭스 롯데마트잠실점 주말오전 알바 모집,15:30~22:00,"시급8,590",10/22
전북 군산시, 롭스 군산아웃렛점,롭스 강남점 주말 마감 메이트 모집합니다.,15:00~19:30,"시급8,590",10/22
경남 김해시, 롭스 김해아울렛,롭스 군산아울렛점에서 평일 마감 모집합니다.,12:30~20:00,"시급8,590",10/18
