근무지,지점,포지션,근무시간,급여
인천 서구, 멕시카나 불곡대로점(인북),멕시카나 관양점 배달 주6일 직,19:00~01:00,"시급8,600"
전북 군산시, 멕시카나 나운2지곡점,(경력자환영)멕시카나치킨 배곧,17:00~24:00,"시급9,000"
충북 청주시, 멕시카나 율량점,배달직원 구함,16:30~24:00,"시급8,590"
경기 시흥시, 멕시카나 배곧해피점,멕시카나 불로대곡점 알바모집.,17:00~24:00,"월급2,000,000"
경기 안양시, 멕시카나 관양점,배달직원 구함,17:00~10:00,"시급11,000"
서울 노원구, 멕시카나 노원역점,멕시카나 율량점 매장관리 직원 모집합니다,18:30~11:00,"시급8,700"
인천 계양구, 멕시카나 임학병방점,(경력자환영)멕시카나치킨 배곧해피점과 함께할 가족분을 구합니다.,17:00~22:00,"시급10,000"
인천 계양구, 멕시카나 임학병방점,멕시카나 관양점 배달 주6일 직원 구합니다.,17:00~22:00,"시급10,000"
경기 시흥시, 멕시카나 배곧해피점,멕시카나  노원역 점에서 아르바이트 구합니다.,17:00~24:00,"월급2,000,000"
경기 시흥시, 멕시카나 배곧해피점,멕시카나치킨 임학병방점 배달(2인) 구인,16:00~24:00,"월급2,000,000"
경기 시흥시, 멕시카나 배곧해피점,멕시카나 임학병방점 배달직원 구인(2명),16:00~24:00,"월급2,000,000"
인천 서구, 멕시카나 청라루원시티점(인남),(경력자환영)멕시카나치킨 배곧해피점과 함께할 가족분을 구합니다.,18:00~21:00,"시급8,590"
인천 연수구, 멕시카나 송도국제도시점(인남),(경력자환영)멕시카나치킨 배곧해피점과 함께할 가족분을 구합니다.,15:00~24:00,"월급2,330,000"
